Source,Target,Weight,Type
Harris_1788A.rtf,Harris_1793.rtf,24,undirected
Harris_1788A.rtf,MissDvnprt_1788.rtf,8,undirected
Harris_1788A.rtf,MrsCrsby_1788.rtf,4,undirected
Harris_1793.rtf,Harris_1788A.rtf,24,undirected
Harris_1793.rtf,MissDvnprt_1788.rtf,8,undirected
Harris_1793.rtf,MrsCrsby_1788.rtf,4,undirected
MissBetsyClrke_1788.rtf,MissBrwn_1788.rtf,18,undirected
MissBetsyClrke_1788.rtf,MissGrge_1788.rtf,13,undirected
MissBetsyClrke_1788.rtf,MissGrn_1788.rtf,13,undirected
MissBetsyHdsn_1788.rtf,MissHarrietJns_1788.rtf,17,undirected
MissBetsyHdsn_1788.rtf,MissLstr_1788.rtf,13,undirected
MissBetsyHdsn_1788.rtf,MrsDd_1788.rtf,1,undirected
MissBetsyHdsn_1788.rtf,MrsDfld_1788.rtf,13,undirected
MissBlke_1788.rtf,MissDvnprt_1788.rtf,10,undirected
MissBlke_1788.rtf,MrsCrsby_1788.rtf,9,undirected
MissBlke_1788.rtf,MrsDd_1788.rtf,22,undirected
MissBlke_1788.rtf,MrsDfld_1788.rtf,2,undirected
MissBlke_1788.rtf,MrsHrvy_1788.rtf,12,undirected
MissBnd_1788.rtf,MissGrn_1788.rtf,1,undirected
MissBnd_1788.rtf,MissHarrietJns_1788.rtf,15,undirected
MissBnd_1788.rtf,MissKn_1788.rtf,14,undirected
MissBnd_1788.rtf,MissLstr_1788.rtf,2,undirected
MissBnd_1788.rtf,MissMntn_1788.rtf,13,undirected
MissBrn_1788.rtf,MissClnton_1788.rtf,8,undirected
MissBrn_1788.rtf,MissDglss_1788.rtf,6,undirected
MissBrn_1788.rtf,MissHrdy_1788.rtf,10,undirected
MissBrn_1788.rtf,MissJnsn_1788.rtf,4,undirected
MissBrn_1788.rtf,MissLnsy_1788.rtf,21,undirected
MissBrn_1788.rtf,MissTrbt_1788.rtf,5,undirected
MissBrwn_1788.rtf,MissBetsyClrke_1788.rtf,18,undirected
MissBrwn_1788.rtf,MissGrge_1788.rtf,6,undirected
MissBrwn_1788.rtf,MissGrn_1788.rtf,6,undirected
MissBrwn_1788.rtf,MissLcs_1788.rtf,6,undirected
MissBrwn_1788.rtf,MissLvr_1788.rtf,1,undirected
MissClnton_1788.rtf,MissBrn_1788.rtf,8,undirected
MissClnton_1788.rtf,MissDglss_1788.rtf,10,undirected
MissClnton_1788.rtf,MissHrdy_1788.rtf,12,undirected
MissClnton_1788.rtf,MissLnsy_1788.rtf,13,undirected
MissClnton_1788.rtf,MissRchrdsn_1788.rtf,1,undirected
MissClnton_1788.rtf,MissTrbt_1788.rtf,4,undirected
MissDglss_1788.rtf,MissBrn_1788.rtf,6,undirected
MissDglss_1788.rtf,MissClnton_1788.rtf,10,undirected
MissDglss_1788.rtf,MissHrdy_1788.rtf,2,undirected
MissDglss_1788.rtf,MissLnsy_1788.rtf,6,undirected
MissDvnprt_1788.rtf,Harris_1788A.rtf,8,undirected
MissDvnprt_1788.rtf,Harris_1793.rtf,8,undirected
MissDvnprt_1788.rtf,MissBlke_1788.rtf,10,undirected
MissDvnprt_1788.rtf,MrsCrsby_1788.rtf,20,undirected
MissDvnprt_1788.rtf,MrsDd_1788.rtf,3,undirected
MissDvnprt_1788.rtf,MrsHrvy_1788.rtf,5,undirected
MissGrge_1788.rtf,MissBetsyClrke_1788.rtf,13,undirected
MissGrge_1788.rtf,MissBrwn_1788.rtf,6,undirected
MissGrge_1788.rtf,MissGrn_1788.rtf,23,undirected
MissGrge_1788.rtf,MissKn_1788.rtf,9,undirected
MissGrge_1788.rtf,MissMntn_1788.rtf,3,undirected
MissGrn_1788.rtf,MissBetsyClrke_1788.rtf,13,undirected
MissGrn_1788.rtf,MissBnd_1788.rtf,1,undirected
MissGrn_1788.rtf,MissBrwn_1788.rtf,6,undirected
MissGrn_1788.rtf,MissGrge_1788.rtf,23,undirected
MissGrn_1788.rtf,MissKn_1788.rtf,10,undirected
MissGrn_1788.rtf,MissLstr_1788.rtf,1,undirected
MissHarrietJns_1788.rtf,MissBetsyHdsn_1788.rtf,17,undirected
MissHarrietJns_1788.rtf,MissBnd_1788.rtf,15,undirected
MissHarrietJns_1788.rtf,MissKn_1788.rtf,1,undirected
MissHarrietJns_1788.rtf,MissLstr_1788.rtf,4,undirected
MissHarrietJns_1788.rtf,MissMntn_1788.rtf,15,undirected
MissHarrietJns_1788.rtf,MrsDfld_1788.rtf,1,undirected
MissHllnd_1788.rtf,MissLcs_1788.rtf,14,undirected
MissHllnd_1788.rtf,MissLnsy_1788.rtf,2,undirected
MissHllnd_1788.rtf,MissLvr_1788.rtf,12,undirected
MissHllnd_1788.rtf,MissRchrdsn_1788.rtf,23,undirected
MissHllnd_1788.rtf,MissTrbt_1788.rtf,2,undirected
MissHrdy_1788.rtf,MissBrn_1788.rtf,10,undirected
MissHrdy_1788.rtf,MissClnton_1788.rtf,12,undirected
MissHrdy_1788.rtf,MissDglss_1788.rtf,2,undirected
MissHrdy_1788.rtf,MissJnsn_1788.rtf,4,undirected
MissHrdy_1788.rtf,MissLnsy_1788.rtf,16,undirected
MissHrdy_1788.rtf,MissRchrdsn_1788.rtf,1,undirected
MissHrdy_1788.rtf,MissTrbt_1788.rtf,14,undirected
MissJnsn_1788.rtf,MissBrn_1788.rtf,4,undirected
MissJnsn_1788.rtf,MissHrdy_1788.rtf,4,undirected
MissJnsn_1788.rtf,MissLnsy_1788.rtf,7,undirected
MissJnsn_1788.rtf,MissRchrdsn_1788.rtf,15,undirected
MissJnsn_1788.rtf,MissTrbt_1788.rtf,3,undirected
MissKn_1788.rtf,MissBnd_1788.rtf,14,undirected
MissKn_1788.rtf,MissGrge_1788.rtf,9,undirected
MissKn_1788.rtf,MissGrn_1788.rtf,10,undirected
MissKn_1788.rtf,MissHarrietJns_1788.rtf,1,undirected
MissKn_1788.rtf,MissLstr_1788.rtf,1,undirected
MissKn_1788.rtf,MissMntn_1788.rtf,15,undirected
MissLcs_1788.rtf,MissBrwn_1788.rtf,6,undirected
MissLcs_1788.rtf,MissHllnd_1788.rtf,14,undirected
MissLcs_1788.rtf,MissLvr_1788.rtf,11,undirected
MissLcs_1788.rtf,MissRchrdsn_1788.rtf,6,undirected
MissLnsy_1788.rtf,MissBrn_1788.rtf,21,undirected
MissLnsy_1788.rtf,MissClnton_1788.rtf,13,undirected
MissLnsy_1788.rtf,MissDglss_1788.rtf,6,undirected
MissLnsy_1788.rtf,MissHllnd_1788.rtf,2,undirected
MissLnsy_1788.rtf,MissHrdy_1788.rtf,16,undirected
MissLnsy_1788.rtf,MissJnsn_1788.rtf,7,undirected
